actualizacion,trash1,compra,variacion_compra,venta,variacion_venta,img_url,companny_url,companny_name,time,img,banks,days_open,last_updated,buy_cost,buy_variation,sale_cost,sale_variation
2 min,Cambiar,3.735,0.0,3.75,0.0,https://s3-ced-uploads-01.s3.amazonaws.com/1703001286669-cambiafx_v2.svg,https://cambiafx.pe/?utm_source=display&utm_medium=banner&utm_campaign=Cuanto_esta_el_Dolar&utm_content=boton_cambiar,cambiafx,12:12:12,,,,,,,,
12 min,Cambiar,3.74,-0.001,3.744,-0.001,https://s3-ced-uploads-01.s3.amazonaws.com/1706405397247-cambiomundial-2.svg,https://www.cambiomundial.com/?utm_source=ced,cambiomundial,12:12:12,,,,,,,,
4 min,Cambiar,3.738,0.003,3.745,0.0,https://s3-ced-uploads-01.s3.amazonaws.com/1703001387470-mpodera.svg,https://mpodera.pe/?utm_source=ced,mpodera,12:12:12,,,,,,,,
15 min,Cambiar,3.736,-0.001,3.746,-0.004,https://s3-ced-uploads-01.s3.amazonaws.com/1703885579335-okane.svg,https://www.okanecambiodigital.com/?utm_source=ced,okanecambiodigital,12:12:12,,,,,,,,
29 min,Cambiar,3.737,0.0,3.744,-0.001,https://s3-ced-uploads-01.s3.amazonaws.com/1703885241775-dichikash.svg,https://dichikash.com/?utm_source=ced,dichikash,12:12:12,,,,,,,,
14 min,Cambiar,3.737,0.001,3.749,0.001,https://s3-ced-uploads-01.s3.amazonaws.com/1703885660214-chapa-cambio.svg,https://chapacambio.com/?c=CHAPACUANTO,chapacambio,12:12:12,,,,,,,,
2 min,Cambiar,3.73,0.0,3.752,0.0,https://s3-ced-uploads-01.s3.amazonaws.com/1703611552019-western-union.svg,https://westernunionperu.pe/cambiodemoneda?utm_source=ced&utm_content=listado,westernunionperu,12:12:12,,,,,,,,
10 min,Cambiar,3.737,-0.001,3.743,0.0,https://s3-ced-uploads-01.s3.amazonaws.com/1706407302313-dolarex.svg,https://dolarex.pe/?utm_source=ced,dolarex,12:12:12,,,,,,,,
20 horas,Cambiar,3.733,0.003,3.745,0.0,https://cuantoestaeldolar.pe/_next/image?url=https%3A%2F%2Fs3-ced-uploads-01.s3.amazonaws.com%2F1703885507016-sr-cambio.png&w=384&q=75,https://srcambio.pe/?utm_source=ced&utm_medium=listado,srcambio,12:12:12,,,,,,,,
5 min,Cambiar,3.74,0.0,3.744,0.0,https://s3-ced-uploads-01.s3.amazonaws.com/1706408745945-money_house.svg,https://www.moneyhouse.pe/?utm_source=ced,moneyhouse,12:12:12,,,,,,,,
2 min,Cambiar,3.738,0.0,3.756,0.0,https://s3-ced-uploads-01.s3.amazonaws.com/1703886518616-cambiosol.svg,https://cambiosol.pe/?utm_source=ced,cambiosol,12:12:12,,,,,,,,
15 min,Cambiar,3.739,0.0,3.746,0.0,https://s3-ced-uploads-01.s3.amazonaws.com/1703888213856-dlsmoney.svg,https://dlsmoney.com/?utm_source=ced&utm_medium=listado,dlsmoney,12:12:12,,,,,,,,
34 min,Cambiar,3.733,-0.001,3.75,-0.002,https://s3-ced-uploads-01.s3.amazonaws.com/1703886832755-yanki.svg,https://yanki.pe/?utm_source=CED&utm_medium=paid&utm_campaign=diciembre,yanki,12:12:12,,,,,,,,
2 min,Cambiar,3.735,0.001,3.756,0.0,https://s3-ced-uploads-01.s3.amazonaws.com/1720489567199-instakash_v2.svg,https://instakash.net/?utm_source=ced,instakash,12:12:12,,,,,,,,
1 horas,Cambiar,3.74,0.0,3.758,0.0,https://s3-ced-uploads-01.s3.amazonaws.com/1710258214508-perudolar.svg,https://perudolar.pe/?utm_source=ced&utm_medium=listado,perudolar,12:12:12,,,,,,,,
